Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
2015-02-18,22.0,19.0,26.0,13.0,0.0,21.392
2015-02-19,23.0,19.0,28.0,2.0,0.0,22.922
2015-02-20,24.0,21.0,28.0,0.0,0.0,24.567
2015-02-21,25.0,21.0,31.0,0.0,1.0,30.943
2015-02-22,24.0,20.0,30.0,0.0,1.0,30.825
2015-02-23,25.0,20.0,31.0,0.0,0.0,25.692
2015-02-24,24.0,20.0,31.0,0.0,0.0,26.959
2015-02-25,22.0,19.0,29.0,2.0,0.0,25.366
2015-02-26,24.0,19.0,30.0,34.0,0.0,22.784
2015-02-27,24.0,20.0,31.0,0.0,0.0,26.241
2015-02-28,22.0,19.0,27.0,0.0,1.0,26.467
2015-03-01,21.0,18.0,26.0,3.0,1.0,27.475
2015-03-02,22.0,17.0,29.0,0.0,0.0,28.749
2015-03-03,23.0,19.0,29.0,0.0,0.0,24.146
2015-03-04,23.0,18.0,30.0,0.0,0.0,22.988
2015-03-05,24.0,19.0,31.0,0.0,0.0,30.3
2015-03-06,22.0,19.0,28.0,0.0,0.0,22.654
2015-03-07,21.0,19.0,26.0,38.0,1.0,29.09
2015-03-08,22.0,19.0,24.0,69.0,1.0,24.619
2015-03-09,21.0,19.0,23.0,77.0,0.0,20.016
2015-03-10,23.0,21.0,26.0,9.0,0.0,23.042
2015-03-11,22.0,20.0,28.0,9.0,0.0,22.933
2015-03-12,22.0,19.0,26.0,1.0,0.0,22.409
2015-03-13,22.0,20.0,26.0,0.0,0.0,21.281
2015-03-14,22.0,19.0,27.0,12.0,1.0,28.844
2015-03-15,22.0,19.0,26.0,0.0,1.0,32.872
2015-03-16,21.0,18.0,29.0,22.0,0.0,20.903
2015-03-17,21.0,18.0,25.0,24.0,0.0,26.275
2015-03-18,21.0,19.0,24.0,0.0,0.0,20.167
2015-03-19,21.0,19.0,27.0,3.0,0.0,23.628
2015-03-20,21.0,18.0,28.0,7.0,0.0,24.213
2015-03-21,20.0,18.0,25.0,14.0,1.0,28.631
2015-03-22,19.0,18.0,22.0,1.0,1.0,25.855
2015-03-23,19.0,17.0,23.0,19.0,0.0,21.406
2015-03-24,20.0,17.0,26.0,0.0,0.0,21.617
2015-03-25,21.0,17.0,27.0,0.0,0.0,22.401
2015-03-26,22.0,18.0,29.0,0.0,0.0,27.989
2015-03-27,23.0,18.0,30.0,0.0,0.0,24.974
2015-03-28,23.0,19.0,29.0,0.0,1.0,29.76
2015-03-29,22.0,20.0,26.0,0.0,1.0,26.116
2015-03-30,22.0,19.0,25.0,18.0,0.0,25.85
2015-03-31,23.0,20.0,29.0,1.0,0.0,24.925
2015-04-01,22.0,19.0,27.0,0.0,0.0,21.979
2015-04-02,20.0,18.0,26.0,0.0,0.0,22.116
2015-04-03,21.0,16.0,27.0,0.0,0.0,24.867
2015-04-04,22.0,17.0,29.0,0.0,1.0,33.45
2015-04-05,22.0,20.0,26.0,0.0,1.0,32.713
2015-04-06,21.0,18.0,27.0,0.0,0.0,22.356
2015-04-07,17.0,16.0,20.0,7.0,0.0,21.004
2015-04-08,18.0,14.0,24.0,0.0,0.0,23.362
2015-04-09,19.0,15.0,25.0,0.0,0.0,20.298
2015-04-10,20.0,17.0,25.0,0.0,0.0,24.862
2015-04-11,21.0,17.0,28.0,0.0,1.0,30.505
2015-04-12,19.0,16.0,25.0,0.0,1.0,25.07
2015-04-13,20.0,18.0,25.0,0.0,0.0,22.62
2015-04-14,21.0,18.0,28.0,0.0,0.0,22.001
2015-04-15,21.0,18.0,27.0,0.0,0.0,23.469
2015-04-16,21.0,18.0,26.0,25.0,0.0,21.735
2015-04-17,21.0,18.0,27.0,37.0,0.0,21.593
2015-04-18,23.0,18.0,29.0,0.0,1.0,33.822
2015-04-19,22.0,20.0,27.0,0.0,1.0,28.028
2015-04-20,24.0,19.0,29.0,20.0,0.0,24.304
2015-04-21,22.0,19.0,29.0,0.0,0.0,31.108
2015-04-22,20.0,18.0,21.0,2.0,0.0,19.113
2015-04-23,21.0,18.0,24.0,14.0,0.0,23.198
2015-04-24,22.0,19.0,28.0,0.0,0.0,24.388
2015-04-25,19.0,17.0,23.0,0.0,1.0,27.42
2015-04-26,19.0,16.0,23.0,0.0,1.0,30.479
2015-04-27,19.0,17.0,24.0,0.0,0.0,21.838
2015-04-28,20.0,17.0,26.0,0.0,0.0,20.812
2015-04-29,18.0,16.0,22.0,0.0,0.0,19.761
2015-04-30,16.0,14.0,18.0,0.0,0.0,20.452
2015-05-01,17.0,13.0,22.0,0.0,0.0,17.939
2015-05-02,19.0,14.0,26.0,0.0,1.0,25.272
2015-05-03,21.0,15.0,26.0,0.0,1.0,28.049
2015-05-04,19.0,17.0,22.0,1.0,0.0,25.317
2015-05-05,18.0,16.0,20.0,9.0,0.0,21.826
2015-05-06,17.0,15.0,20.0,0.0,0.0,20.68
2015-05-07,17.0,15.0,21.0,0.0,0.0,19.143
2015-05-08,16.0,13.0,19.0,0.0,0.0,18.146
2015-05-09,18.0,13.0,26.0,0.0,1.0,25.489
2015-05-10,16.0,13.0,21.0,0.0,1.0,23.537
2015-05-11,17.0,15.0,20.0,22.0,0.0,16.956
2015-05-12,17.0,14.0,21.0,0.0,0.0,19.052
2015-05-13,16.0,14.0,18.0,2.0,0.0,17.287
2015-05-14,16.0,14.0,21.0,0.0,0.0,20.3
2015-05-15,16.0,13.0,21.0,0.0,0.0,20.538
2015-05-16,17.0,13.0,22.0,0.0,1.0,23.702
2015-05-17,18.0,15.0,22.0,0.0,1.0,28.411
2015-05-18,18.0,16.0,21.0,0.0,0.0,21.073
2015-05-19,18.0,17.0,22.0,0.0,0.0,24.215
2015-05-20,18.0,15.0,23.0,0.0,0.0,19.525
2015-05-21,19.0,16.0,25.0,0.0,0.0,20.786
2015-05-22,20.0,16.0,25.0,0.0,0.0,20.429
2015-05-23,19.0,15.0,24.0,0.0,1.0,27.25
2015-05-24,21.0,17.0,26.0,0.0,1.0,31.387
2015-05-25,22.0,17.0,27.0,0.0,0.0,26.075
2015-05-26,21.0,19.0,24.0,0.0,0.0,22.162
2015-05-27,22.0,19.0,27.0,0.0,0.0,24.258
2015-05-28,18.0,16.0,23.0,1.0,0.0,24.683
2015-05-29,17.0,15.0,21.0,7.0,0.0,21.245
2015-05-30,17.0,13.0,22.0,0.0,1.0,25.937
2015-05-31,16.0,13.0,18.0,5.0,1.0,26.081
2015-06-01,16.0,15.0,18.0,2.0,0.0,16.228
2015-06-02,16.0,15.0,17.0,0.0,0.0,20.106
2015-06-03,17.0,15.0,21.0,0.0,0.0,21.055
2015-06-04,18.0,14.0,24.0,0.0,0.0,22.772
2015-06-05,18.0,14.0,25.0,0.0,0.0,25.142
2015-06-06,19.0,13.0,26.0,0.0,1.0,31.129
2015-06-07,20.0,15.0,26.0,0.0,1.0,30.498
2015-06-08,20.0,15.0,26.0,0.0,0.0,26.15
2015-06-09,20.0,15.0,26.0,0.0,0.0,21.327
2015-06-10,20.0,15.0,26.0,0.0,0.0,22.008
2015-06-11,22.0,17.0,26.0,0.0,0.0,24.615
2015-06-12,18.0,16.0,23.0,0.0,0.0,22.375
2015-06-13,21.0,15.0,27.0,0.0,1.0,29.607
2015-06-14,22.0,18.0,27.0,0.0,1.0,32.983
2015-06-15,16.0,13.0,23.0,0.0,0.0,19.119
2015-06-16,14.0,12.0,18.0,9.0,0.0,21.029
2015-06-17,19.0,13.0,25.0,0.0,0.0,23.898
2015-06-18,19.0,15.0,26.0,0.0,0.0,24.534
2015-06-19,14.0,13.0,17.0,3.0,0.0,16.748
2015-06-20,15.0,12.0,20.0,0.0,1.0,23.055
2015-06-21,17.0,12.0,24.0,0.0,1.0,28.857
2015-06-22,18.0,13.0,24.0,0.0,0.0,23.022
2015-06-23,19.0,14.0,25.0,0.0,0.0,27.146
2015-06-24,14.0,13.0,18.0,3.0,0.0,17.241
2015-06-25,14.0,12.0,17.0,1.0,0.0,19.463
2015-06-26,15.0,12.0,20.0,0.0,0.0,21.86
2015-06-27,15.0,10.0,20.0,0.0,1.0,24.227
2015-06-28,15.0,11.0,21.0,0.0,1.0,27.594
2015-06-29,17.0,11.0,24.0,0.0,0.0,24.863
2015-06-30,19.0,13.0,25.0,0.0,0.0,20.161
2015-07-01,17.0,16.0,20.0,0.0,0.0,20.824
2015-07-02,17.0,15.0,19.0,1.0,0.0,19.727
2015-07-03,17.0,15.0,18.0,17.0,0.0,14.94
2015-07-04,14.0,10.0,21.0,15.0,1.0,24.632
2015-07-05,12.0,11.0,14.0,4.0,1.0,21.294
2015-07-06,15.0,11.0,20.0,0.0,0.0,18.448
2015-07-07,16.0,13.0,20.0,0.0,0.0,21.237
2015-07-08,17.0,14.0,18.0,4.0,0.0,19.849
2015-07-09,17.0,15.0,20.0,0.0,0.0,20.74
2015-07-10,19.0,14.0,25.0,0.0,0.0,25.698
2015-07-11,17.0,16.0,19.0,0.0,1.0,26.691
2015-07-12,20.0,14.0,27.0,3.0,1.0,33.298
2015-07-13,22.0,16.0,28.0,0.0,0.0,25.64
2015-07-14,23.0,18.0,29.0,0.0,0.0,23.937
2015-07-15,20.0,17.0,27.0,0.0,0.0,28.742
2015-07-16,19.0,16.0,25.0,0.0,0.0,21.748
2015-07-17,19.0,15.0,24.0,0.0,0.0,22.032
2015-07-18,20.0,18.0,23.0,0.0,1.0,24.827
2015-07-19,19.0,14.0,25.0,0.0,1.0,32.473
2015-07-20,20.0,14.0,25.0,0.0,0.0,20.62
2015-07-21,16.0,14.0,21.0,0.0,0.0,21.825
2015-07-22,14.0,12.0,16.0,0.0,0.0,14.343
2015-07-23,17.0,13.0,20.0,0.0,0.0,19.029
2015-07-24,18.0,14.0,25.0,0.0,0.0,21.104
2015-07-25,15.0,14.0,17.0,16.0,1.0,20.738
2015-07-26,16.0,13.0,22.0,2.0,1.0,25.233
2015-07-27,16.0,11.0,24.0,0.0,0.0,18.975
2015-07-28,16.0,11.0,24.0,0.0,0.0,19.64
2015-07-29,16.0,11.0,23.0,0.0,0.0,22.522
2015-07-30,16.0,11.0,26.0,0.0,0.0,24.227
2015-07-31,19.0,12.0,26.0,0.0,0.0,24.726
2015-08-01,19.0,14.0,26.0,0.0,1.0,32.467
2015-08-02,20.0,13.0,26.0,0.0,1.0,31.663
2015-08-03,21.0,14.0,26.0,0.0,0.0,25.867
2015-08-04,21.0,15.0,27.0,0.0,0.0,27.724
2015-08-05,20.0,15.0,27.0,0.0,0.0,22.039
2015-08-06,21.0,16.0,27.0,0.0,0.0,26.127
2015-08-07,22.0,15.0,28.0,0.0,0.0,26.58
2015-08-08,21.0,16.0,27.0,0.0,1.0,31.31
2015-08-09,19.0,15.0,26.0,0.0,1.0,33.517
2015-08-10,21.0,15.0,28.0,0.0,0.0,23.181
2015-08-11,19.0,15.0,27.0,0.0,0.0,24.183
2015-08-12,20.0,14.0,26.0,0.0,0.0,24.594
2015-08-13,20.0,14.0,28.0,0.0,0.0,22.61
2015-08-14,20.0,15.0,27.0,0.0,0.0,25.479
2015-08-15,21.0,15.0,27.0,0.0,1.0,29.621
2015-08-16,20.0,16.0,27.0,0.0,1.0,26.272
2015-08-17,21.0,15.0,28.0,0.0,0.0,22.541
2015-08-18,21.0,16.0,26.0,0.0,0.0,23.07
2015-08-19,20.0,17.0,28.0,0.0,0.0,26.021
2015-08-20,16.0,14.0,19.0,0.0,0.0,17.655
2015-08-21,16.0,13.0,22.0,1.0,0.0,23.243
2015-08-22,18.0,14.0,26.0,0.0,1.0,30.177
2015-08-23,20.0,13.0,30.0,0.0,1.0,27.518
2015-08-24,16.0,15.0,20.0,0.0,0.0,23.21
2015-08-25,16.0,14.0,20.0,2.0,0.0,21.092
2015-08-26,18.0,14.0,24.0,0.0,0.0,23.357
2015-08-27,16.0,13.0,19.0,2.0,0.0,17.888
2015-08-28,16.0,12.0,22.0,25.0,0.0,22.217
2015-08-29,18.0,12.0,26.0,0.0,1.0,31.681
2015-08-30,22.0,14.0,32.0,0.0,1.0,31.833
2015-08-31,24.0,16.0,32.0,0.0,0.0,28.441
2015-09-01,21.0,17.0,30.0,0.0,0.0,22.389
2015-09-02,16.0,14.0,20.0,0.0,0.0,20.681
2015-09-03,19.0,14.0,25.0,0.0,0.0,24.222
2015-09-04,16.0,15.0,19.0,0.0,0.0,19.345
2015-09-05,16.0,14.0,18.0,2.0,1.0,21.827
2015-09-06,16.0,13.0,19.0,0.0,1.0,23.566
2015-09-07,18.0,13.0,24.0,0.0,0.0,20.227
2015-09-08,17.0,15.0,19.0,23.0,0.0,17.075
2015-09-09,18.0,15.0,22.0,58.0,0.0,16.977
2015-09-10,18.0,13.0,25.0,0.0,0.0,21.525
2015-09-11,16.0,14.0,21.0,31.0,0.0,21.454
2015-09-12,14.0,12.0,15.0,27.0,1.0,21.814
2015-09-13,14.0,12.0,16.0,0.0,1.0,21.252
2015-09-14,16.0,13.0,22.0,0.0,0.0,20.464
2015-09-15,21.0,14.0,30.0,0.0,0.0,30.775
2015-09-16,25.0,17.0,32.0,0.0,0.0,25.343
2015-09-17,27.0,20.0,33.0,0.0,0.0,33.93
2015-09-18,28.0,21.0,34.0,0.0,0.0,26.311
2015-09-19,28.0,21.0,35.0,0.0,1.0,31.836
2015-09-20,23.0,19.0,33.0,0.0,1.0,34.695
2015-09-21,24.0,17.0,32.0,0.0,0.0,29.829
2015-09-22,25.0,18.0,33.0,0.0,0.0,26.362
2015-09-23,26.0,18.0,34.0,0.0,0.0,32.589
2015-09-24,28.0,20.0,35.0,0.0,0.0,30.345
2015-09-25,23.0,19.0,30.0,0.0,0.0,29.411
2015-09-26,20.0,18.0,24.0,28.0,1.0,29.637
2015-09-27,22.0,18.0,30.0,1.0,1.0,32.184
2015-09-28,21.0,17.0,23.0,27.0,0.0,17.731
2015-09-29,21.0,17.0,27.0,0.0,0.0,24.114
2015-09-30,21.0,18.0,27.0,0.0,0.0,28.034
2015-10-01,20.0,17.0,26.0,7.0,0.0,22.664
2015-10-02,24.0,19.0,32.0,0.0,0.0,27.488
2015-10-03,20.0,16.0,25.0,25.0,1.0,24.876
2015-10-04,18.0,17.0,21.0,0.0,1.0,24.862
2015-10-05,17.0,14.0,22.0,0.0,0.0,24.679
2015-10-06,18.0,14.0,24.0,0.0,0.0,22.304
2015-10-07,24.0,15.0,32.0,0.0,0.0,30.329
2015-10-08,26.0,19.0,34.0,0.0,0.0,33.182
2015-10-09,24.0,19.0,29.0,0.0,0.0,23.849
2015-10-10,23.0,19.0,28.0,0.0,1.0,33.33
2015-10-11,22.0,19.0,30.0,0.0,1.0,34.496
2015-10-12,22.0,19.0,29.0,0.0,0.0,26.249
2015-10-13,21.0,18.0,27.0,2.0,0.0,26.523
2015-10-14,23.0,18.0,28.0,0.0,0.0,26.793
2015-10-15,28.0,18.0,35.0,0.0,0.0,35.861
2015-10-16,26.0,21.0,35.0,0.0,0.0,27.387
2015-10-17,21.0,17.0,29.0,0.0,1.0,32.666
2015-10-18,16.0,15.0,19.0,0.0,1.0,22.199
2015-10-19,19.0,15.0,27.0,0.0,0.0,24.0
2015-10-20,26.0,17.0,35.0,0.0,0.0,27.871
2015-10-21,24.0,21.0,32.0,0.0,0.0,31.139
2015-10-22,19.0,17.0,22.0,14.0,0.0,23.065
2015-10-23,20.0,17.0,27.0,13.0,0.0,26.594
2015-10-24,17.0,16.0,21.0,0.0,1.0,27.657
2015-10-25,17.0,15.0,19.0,0.0,1.0,26.594
2015-10-26,20.0,16.0,28.0,28.0,0.0,28.084
2015-10-27,22.0,19.0,28.0,0.0,0.0,27.582
2015-10-28,20.0,18.0,23.0,0.0,0.0,24.862
2015-10-29,20.0,18.0,24.0,0.0,0.0,22.634
2015-10-30,23.0,19.0,31.0,0.0,0.0,31.649
2015-10-31,23.0,18.0,29.0,0.0,1.0,35.781
2015-11-01,20.0,18.0,22.0,27.0,1.0,24.429
2015-11-02,21.0,18.0,27.0,39.0,0.0,20.648
2015-11-03,21.0,19.0,25.0,3.0,0.0,22.741
2015-11-04,21.0,18.0,27.0,6.0,0.0,21.479
2015-11-05,21.0,18.0,24.0,39.0,0.0,23.134
2015-11-06,19.0,18.0,22.0,0.0,0.0,20.575
2015-11-07,18.0,16.0,20.0,1.0,1.0,24.33
2015-11-08,20.0,17.0,23.0,0.0,1.0,28.61
2015-11-09,22.0,18.0,29.0,4.0,0.0,28.456
2015-11-10,23.0,19.0,31.0,10.0,0.0,27.964
2015-11-11,26.0,19.0,32.0,0.0,0.0,29.569
2015-11-12,23.0,20.0,31.0,0.0,0.0,29.267
2015-11-13,22.0,19.0,29.0,0.0,0.0,28.647
2015-11-14,25.0,19.0,30.0,16.0,1.0,26.836
2015-11-15,23.0,19.0,29.0,8.0,1.0,29.386
2015-11-16,21.0,19.0,24.0,0.0,0.0,24.609
2015-11-17,21.0,17.0,29.0,0.0,0.0,26.964
2015-11-18,25.0,17.0,30.0,14.0,0.0,23.614
2015-11-19,26.0,23.0,30.0,0.0,0.0,22.96
2015-11-20,23.0,19.0,27.0,6.0,0.0,20.332
2015-11-21,19.0,17.0,24.0,7.0,1.0,30.392
2015-11-22,22.0,17.0,28.0,0.0,1.0,31.933
2015-11-23,20.0,19.0,23.0,13.0,0.0,21.662
2015-11-24,21.0,19.0,22.0,7.0,0.0,21.689
2015-11-25,21.0,19.0,24.0,0.0,0.0,25.119
2015-11-26,22.0,19.0,27.0,0.0,0.0,25.285
2015-11-27,22.0,17.0,28.0,0.0,0.0,28.979
2015-11-28,23.0,18.0,29.0,0.0,1.0,34.382
2015-11-29,22.0,20.0,26.0,17.0,1.0,30.617
2015-11-30,19.0,16.0,23.0,23.0,0.0,20.238
2015-12-01,20.0,16.0,25.0,0.0,0.0,24.529
2015-12-02,22.0,18.0,29.0,0.0,0.0,30.471
2015-12-03,22.0,20.0,26.0,0.0,0.0,28.405
2015-12-04,22.0,19.0,29.0,0.0,0.0,29.513
2015-12-05,24.0,19.0,30.0,0.0,1.0,32.451
2015-12-06,23.0,20.0,28.0,0.0,1.0,32.78
2015-12-07,20.0,18.0,23.0,47.0,0.0,23.375
2015-12-08,21.0,18.0,28.0,0.0,0.0,27.713
2015-12-09,23.0,19.0,27.0,0.0,0.0,27.137
2015-12-10,24.0,22.0,27.0,0.0,0.0,22.933
2015-12-11,24.0,20.0,30.0,0.0,0.0,30.74
2015-12-12,23.0,20.0,30.0,0.0,1.0,29.579
2015-12-13,24.0,19.0,31.0,12.0,1.0,29.188
2015-12-14,26.0,21.0,32.0,2.0,0.0,28.131
2015-12-15,25.0,20.0,32.0,4.0,0.0,28.617
2015-12-16,22.0,20.0,24.0,1.0,0.0,21.062
2015-12-17,23.0,18.0,28.0,0.0,0.0,24.337
2015-12-18,26.0,19.0,33.0,0.0,0.0,27.042
2015-12-19,23.0,19.0,31.0,1.0,1.0,32.536
2015-12-20,22.0,19.0,29.0,8.0,1.0,30.127
2015-12-21,23.0,19.0,29.0,27.0,0.0,24.834
2015-12-22,24.0,19.0,32.0,43.0,0.0,26.828
2015-12-23,27.0,22.0,32.0,3.0,0.0,26.468
2015-12-24,24.0,20.0,31.0,3.0,0.0,31.572
2015-12-25,23.0,17.0,31.0,39.0,0.0,26.308
2015-12-26,23.0,17.0,29.0,94.0,1.0,21.955
2015-12-27,24.0,21.0,28.0,13.0,1.0,32.307
2015-12-28,22.0,21.0,26.0,0.0,0.0,26.095
2015-12-29,21.0,20.0,24.0,10.0,0.0,22.309
2015-12-30,21.0,19.0,22.0,6.0,0.0,20.467
2015-12-31,24.0,20.0,29.0,0.0,0.0,22.446
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
